ID	File	Language	Dialect	Vernacular Title	Licence Type	Licence Version	CC Licence Link	Copyright Holder	Copyright Years	Translation by
xon	E:\Work\eBible\projects\xon\copr.htm	Konkomba		Uwumbɔr aagbaŋ	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2014	Translation by: Wycliffe Bible Translators
xsi	E:\Work\eBible\projects\xsi\copr.htm	Sio			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/			
xtdNT	E:\Work\eBible\projects\xtdNT\copr.htm	Mixtec, Diuxi-tilantongo		Tnuʼu vaʼa tnuʼu Jesucristo	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2001	Translation by: Wycliffe Bible Translators, Inc.
xtmNTpp	E:\Work\eBible\projects\xtmNTpp\copr.htm	Mixtec, Magdalena Peñasco		Tnu'u vii tnu'u va'a Su'si ma	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2013	Translation by: Wycliffe Bible Translators, Inc.
yaaNT	E:\Work\eBible\projects\yaaNT\copr.htm	Yaminahua		Niospa meka fena Jesucristoõnoa	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2008	Translation by: Wycliffe Bible Translators, Inc.
yadNT	E:\Work\eBible\projects\yadNT\copr.htm	Yagua		Ju̱denu jto̱ nijya̱nvamyu	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2008	Translation by: Wycliffe Bible Translators, Inc.
yal	E:\Work\eBible\projects\yal\copr.htm	Yalunka		Kisin Kiraan Kitabuna	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/	Pioneer Bible Translators	copyright © 2012	Translation by: Pioneer Bible Translators
yap	E:\Work\eBible\projects\yap\copr.htm	Yapese		Bible Ni Thothup	by-nd	4.0	http://creativecommons.org/licenses/by-nd/4.0/			
yaqNT	E:\Work\eBible\projects\yaqNT\copr.htm	Yaqui		Yoʼowe Jesukrijtota itom yaʼariakaʼu betchiʼbo juʼu bemelaka liojta betana lutuʼuria yaʼari (El Nuevo Testamento en yaqui)	by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Wycliffe Bible Translators, Inc.	copyright © 2003	Translation by: Wycliffe Bible Translators, Inc.
yby	E:\Work\eBible\projects\yby\copr.htm	Yaweyuha			by-nc-nd	4.0	http://creativecommons.org/licenses/by-nc-nd/4.0/	Biblica	copyright © 1983, 2011	Translation by: Wycliffe Bible Translators
