file	code	lang	family	country
quh-quhNT.txt	quh	Quechua, South Bolivian	Quechuan	Bolivia, Plurinational State of
qul-qulNT.txt	qul	Quechua, North Bolivian	Quechuan	Bolivia, Plurinational State of
qup-qupNT.txt	qup	Quechua, Southern Pastaza	Quechuan	Peru
qvc-qvcNT.txt	qvc	Quechua, Cajamarca	Quechuan	Peru
qve-qveNT.txt	qve	Quechua, Eastern Apurímac	Quechuan	Peru
qvh-qvhNT.txt	qvh	Quechua, Huamalíes-Dos de Mayo Huánuco	Quechuan	Peru
qvm-qvmNT.txt	qvm	Quechua, Margos-Yarowilca-Lauricocha	Quechuan	Peru
qvn-qvnNT.txt	qvn	Quechua, North Junín	Quechuan	Peru
qvs-qvsNT.txt	qvs	Quechua, San Martín	Quechuan	Peru
qvw-qvwNT.txt	qvw	Quechua, Huaylla Wanca	Quechuan	Peru
qvz-qvzNT.txt	qvz	Quichua, Northern Pastaza	Quechuan	Ecuador
qwh-qwhNT.txt	qwh	Quechua, Huaylas Ancash	Quechuan	Peru
qxh-qxhNT.txt	qxh	Quechua, Panao	Quechuan	Peru
qxn-qxnNT.txt	qxn	Quechua, Northern Conchucos Ancash	Quechuan	Peru
qxo-qxoNT.txt	qxo	Quechua, Southern Conchucos	Quechuan	Peru
rai-rai.txt	rai	Ramoaaina	Austronesian	Papua New Guinea
reg-reg.txt	reg	Kara	Niger-Congo	Tanzania, United Republic of
rgu-rgu.txt	rgu	Rikou	Austronesian	Indonesia
rkb-rkbNT.txt	rkb	Rikbaktsa	Language isolate	Brazil
rmc-rmc.txt	rmc	Romani, Carpathian	Indo-European	Slovakia
rmy-rmyArli.txt	rmy	Romani, Vlax	Indo-European	Romania
rmy-rmyChergash.txt	rmy	Romani, Vlax	Indo-European	Romania
rmy-rmyGurbet.txt	rmy	Romani, Vlax	Indo-European	Romania
ron-ron1924.txt	ron	Romanian	Indo-European	Romania
ron-ronBayash.txt	ron	Romanian	Indo-European	Romania
ron-ronlsb.txt	ron	Romanian	Indo-European	Romania
ron-ronludari.txt	ron	Romanian	Indo-European	Romania
roo-roo.txt	roo	Rotokas	North Bougainville	Papua New Guinea
rop-rop.txt	rop	Kriol	Creole	Australia
row-row.txt	row	Dela-Oenale	Austronesian	Indonesia
rro-rro.txt	rro	Waima	Austronesian	Papua New Guinea
ruf-ruf.txt	ruf	Luguru	Niger-Congo	Tanzania, United Republic of
rug-rug.txt	rug	Roviana	Austronesian	Solomon Islands
rus-russyn.txt	rus	Russian	Indo-European	Russian Federation
rwo-rwo-karo.txt	rwo	Rawa	Trans-New Guinea	Papua New Guinea
rwo-rwo-rawa.txt	rwo	Rawa	Trans-New Guinea	Papua New Guinea
sab-sabNT.txt	sab	Buglere	Chibchan	Panama
san-sanasm.txt	san	Sanskrit	Indo-European	India
san-sanben.txt	san	Sanskrit	Indo-European	India
san-sanbur.txt	san	Sanskrit	Indo-European	India
san-sandev.txt	san	Sanskrit	Indo-European	India
san-sanguj.txt	san	Sanskrit	Indo-European	India
san-sanhk.txt	san	Sanskrit	Indo-European	India
san-sanias.txt	san	Sanskrit	Indo-European	India
san-saniso.txt	san	Sanskrit	Indo-European	India
san-sanitr.txt	san	Sanskrit	Indo-European	India
san-sankhm.txt	san	Sanskrit	Indo-European	India
san-sanmal.txt	san	Sanskrit	Indo-European	India
san-sanori.txt	san	Sanskrit	Indo-European	India
san-sanpun.txt	san	Sanskrit	Indo-European	India
san-sansin.txt	san	Sanskrit	Indo-European	India
san-santam.txt	san	Sanskrit	Indo-European	India
san-santel.txt	san	Sanskrit	Indo-European	India
san-santha.txt	san	Sanskrit	Indo-European	India
san-santib.txt	san	Sanskrit	Indo-European	India
san-sanurd.txt	san	Sanskrit	Indo-European	India
san-sanvel.txt	san	Sanskrit	Indo-European	India
sbe-sbe.txt	sbe	Saliba	Austronesian	Papua New Guinea
sbk-sbk.txt	sbk	Safwa	Niger-Congo	Tanzania, United Republic of
sbs-sbs.txt	sbs	Kuhane	Niger-Congo	Namibia
seh-seh.txt	seh	Sena	Niger-Congo	Mozambique
sey-seyNT.txt	sey	Paicoca	Tucanoan	Ecuador
sgb-sgb.txt	sgb	Ayta, Mag-antsi	Austronesian	Philippines
sgz-sgz.txt	sgz	Sursurunga	Austronesian	Papua New Guinea
shj-shj.txt	shj	Shatt	Nilo-Saharan	Sudan
shp-shpNTpo.txt	shp	Shipibo-Conibo	Panoan	Peru
sim-sim.txt	sim	Mende	Sepik	Papua New Guinea
sja-sjaNT.txt	sja	Epena	Chocoan	Colombia
sll-sll.txt	sll	Yui	Trans-New Guinea	Papua New Guinea
smk-smkNT.txt	smk	Bolinao	Austronesian	Philippines
